course_name,parent_platform,url,type,cost,cost_notes,language,hindi_available,primary_track,secondary_tracks,tier,est_hours,prerequisites,coverage_summary,quality_signal,last_verified_status
Spoken Tutorial: UCSF Chimera series,"Spoken Tutorial, IIT Bombay",https://spoken-tutorial.org/tutorial-search/?search_foss=UCSF+Chimera&search_language=Hindi,Bilingual tutorial series,free,No fee for learning materials.,English and multiple Indian languages,Yes,3. Computational thinking & programming fundamentals,,Newbie; Apprentice,3–20 h,None or basic computing,UCSF Chimera step-by-step software training.,IIT Bombay project; Hindi filter link,fetch restricted (robots/JS/IP); official URL retained; manual check advised
Ethereum Developer Bootcamp,Alchemy University,https://www.alchemy.com/university/courses/ethereum,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Apprentice; Adept,80 h,JavaScript helpful; wallet and basic web concepts,"Teaches Ethereum Developer Bootcamp through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
JavaScript Fundamentals,Alchemy University,https://www.alchemy.com/university/courses/js,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Newbie,20 h,JavaScript helpful; wallet and basic web concepts,"Teaches JavaScript Fundamentals through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
Solidity Bootcamp,Alchemy University,https://www.alchemy.com/university/courses/solidity,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Apprentice; Adept,50 h,JavaScript helpful; wallet and basic web concepts,"Teaches Solidity Bootcamp through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
Ethereum Bootcamp,Encode Club,https://www.alchemy.com/university/courses/ethereum-bootcamp,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Adept,80 h,JavaScript helpful; wallet and basic web concepts,"Teaches Ethereum Bootcamp through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,unresolved/deep link may have moved; retained and flagged September 2026
CryptoZombies Solidity Path,CryptoZombies,https://cryptozombies.io/en/solidity,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Newbie; Apprentice,20 h,JavaScript helpful; wallet and basic web concepts,"Teaches CryptoZombies Solidity Path through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
CryptoZombies Advanced Solidity,CryptoZombies,https://cryptozombies.io/en/course,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Adept,20 h,JavaScript helpful; wallet and basic web concepts,"Teaches CryptoZombies Advanced Solidity through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
LearnWeb3 Freshman,LearnWeb3,https://learnweb3.io/degrees/ethereum-developer-degree/freshman/,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Newbie,15 h,JavaScript helpful; wallet and basic web concepts,"Teaches LearnWeb3 Freshman through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
LearnWeb3 Sophomore,LearnWeb3,https://learnweb3.io/degrees/ethereum-developer-degree/sophomore/,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Apprentice,20 h,JavaScript helpful; wallet and basic web concepts,"Teaches LearnWeb3 Sophomore through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
LearnWeb3 Junior,LearnWeb3,https://learnweb3.io/degrees/ethereum-developer-degree/junior/,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Adept,25 h,JavaScript helpful; wallet and basic web concepts,"Teaches LearnWeb3 Junior through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
LearnWeb3 Senior,LearnWeb3,https://learnweb3.io/degrees/ethereum-developer-degree/senior/,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Master,30 h,JavaScript helpful; wallet and basic web concepts,"Teaches LearnWeb3 Senior through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
Solidity Smart Contract Development,Cyfrin Updraft,https://updraft.cyfrin.io/courses/solidity,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Apprentice,30 h,JavaScript helpful; wallet and basic web concepts,"Teaches Solidity Smart Contract Development through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
Foundry Fundamentals,Cyfrin Updraft,https://updraft.cyfrin.io/courses/foundry,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Adept,25 h,JavaScript helpful; wallet and basic web concepts,"Teaches Foundry Fundamentals through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
Advanced Foundry,Cyfrin Updraft,https://updraft.cyfrin.io/courses/advanced-foundry,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Master,30 h,JavaScript helpful; wallet and basic web concepts,"Teaches Advanced Foundry through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
Smart Contract Security,Cyfrin Updraft,https://updraft.cyfrin.io/courses/security,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Adept; Master,35 h,JavaScript helpful; wallet and basic web concepts,"Teaches Smart Contract Security through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
Aderyn Static Analysis,Cyfrin Updraft,https://updraft.cyfrin.io/courses/aderyn,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Master,10 h,JavaScript helpful; wallet and basic web concepts,"Teaches Aderyn Static Analysis through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,unresolved/deep link may have moved; retained and flagged September 2026
Assembly and Formal Verification,Cyfrin Updraft,https://updraft.cyfrin.io/courses/formal-verification,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Master,25 h,JavaScript helpful; wallet and basic web concepts,"Teaches Assembly and Formal Verification through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
Speed Run Ethereum Challenge 0: Simple NFT,Speed Run Ethereum,https://speedrunethereum.com/challenge/simple-nft-example,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Apprentice,5 h,JavaScript helpful; wallet and basic web concepts,"Teaches Speed Run Ethereum Challenge 0: Simple NFT through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
Speed Run Ethereum Challenge 1: Decentralized Staking,Speed Run Ethereum,https://speedrunethereum.com/challenge/decentralized-staking,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Adept,8 h,JavaScript helpful; wallet and basic web concepts,"Teaches Speed Run Ethereum Challenge 1: Decentralized Staking through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
Speed Run Ethereum Challenge 2: Token Vendor,Speed Run Ethereum,https://speedrunethereum.com/challenge/token-vendor,Course/module,free,No fee for learning materials.,English,No,12. Optional Web3/blockchain,4. Web development,Adept,8 h,JavaScript helpful; wallet and basic web concepts,"Teaches Speed Run Ethereum Challenge 2: Token Vendor through structured lessons or projects covering blockchain concepts, smart contracts, decentralized applications and Web3 security.",Official course/project page or primary course repository,active/reachable; fetched September 2026
